Token	File	Line	Snippet
TARGET_SIZE	analysis/surveys/classifier/simple_classifier.py	157	def load_and_preprocess_tf(img_path_tensor, mask_path_tensor, label_tensor, target_size=TARGET_SIZE):
TARGET_SIZE	analysis/surveys/classifier/simple_classifier.py	231	# img: (TARGET_SIZE[0], TARGET_SIZE[1], 3)
TARGET_SIZE	analysis/surveys/classifier/simple_classifier.py	232	# mask: (TARGET_SIZE[0], TARGET_SIZE[1], 1)
TARGET_SIZE	analysis/surveys/classifier/simple_classifier.py	236	tf.ensure_shape(img, (TARGET_SIZE[0], TARGET_SIZE[1], 3)),
TARGET_SIZE	analysis/surveys/classifier/simple_classifier.py	237	tf.ensure_shape(mask, (TARGET_SIZE[0], TARGET_SIZE[1], 1)),
TARGET_SIZE	analysis/images/resize/resize_remap_images.py	12	from paths import TARGET_WIDTH, TARGET_HEIGHT, TARGET_SIZE, ORIGINAL_MAPPING, PROCESSED_DATA_DIR as OUTPUT_DIR
TARGET_SIZE	analysis/images/resize/resize_remap_images.py	72	img_final = cv2.resize(img_raw, TARGET_SIZE, INTERPOLATION)
TARGET_SIZE	analysis/images/classifier/train_model_accuracy.py	32	TARGET_SIZE = (224, 224)
TARGET_SIZE	analysis/images/classifier/train_model_accuracy.py	73	t = [T.Resize(TARGET_SIZE)]
TARGET_SIZE	analysis/images/classifier/train_model_confusion_matrix.py	32	TARGET_SIZE = (224,224)
TARGET_SIZE	analysis/images/classifier/train_model_confusion_matrix.py	58	self.t_img = T.Compose([T.Resize(TARGET_SIZE), T.ToTensor()])
TARGET_SIZE	analysis/images/classifier/train_model_confusion_matrix.py	59	self.t_mask = T.Compose([T.Resize(TARGET_SIZE, interpolation=T.InterpolationMode.NEAREST), T.ToTensor()])
TARGET_SIZE	analysis/images/classifier/train_model_confusion_matrix.py	93	nn.Linear(64 * (TARGET_SIZE[0]//4) * (TARGET_SIZE[1]//4), 64),
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/helper.py	19	self.t_resize_img  = T.Resize(TARGET_SIZE)
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/helper.py	20	self.t_resize_mask = T.Resize(TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/helper.py	46	img,  i, j, h, w, size=TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/helper.py	50	mask, i, j, h, w, size=TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/test_zoom_effect/main.py	15	TARGET_SIZE = (256, 192)  # (W, H)
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/test_zoom_effect/main.py	82	out_size=TARGET_SIZE  # ✅ Resize to 256x192
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/train_zoom/train_vit.py	30	TARGET_SIZE = (224, 224)
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/train_zoom/train_vit.py	65	self.t_resize_img  = T.Resize(TARGET_SIZE)
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/train_zoom/train_vit.py	66	self.t_resize_mask = T.Resize(TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/train_zoom/train_vit.py	92	img,  i, j, h, w, size=TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/train_zoom/train_vit.py	96	mask, i, j, h, w, size=TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/train_zoom/train_vit.py	142	nn.Linear(64 * (TARGET_SIZE[0] // 4) * (TARGET_SIZE[1] // 4), 64),
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/test_zoom/train_vit.py	30	TARGET_SIZE = (224, 224)
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/test_zoom/train_vit.py	65	self.t_resize_img  = T.Resize(TARGET_SIZE)
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/test_zoom/train_vit.py	66	self.t_resize_mask = T.Resize(TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/test_zoom/train_vit.py	92	img,  i, j, h, w, size=TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/test_zoom/train_vit.py	96	mask, i, j, h, w, size=TARGET_SIZE,
TARGET_SIZE	analysis/images/classifier/crop_zoom_test/test_zoom/train_vit.py	142	nn.Linear(64 * (TARGET_SIZE[0] // 4) * (TARGET_SIZE[1] // 4), 64),
TARGET_SIZE	analysis/images/segmentation_mmseg/paths.py	32	TARGET_SIZE   = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_SIZE	analysis/images/segmentation_mmseg/paths.py	47	MANUAL_PROCESSED_DIR / f"mapping_processed_total_{TARGET_SIZE[0]}x{TARGET_SIZE[1]}.json"
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	14	TARGET_SIZE = (TARGET_WIDTH, TARGET_HEIGHT) # (Width, Height) for OpenCV resize
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	127	resized_img = cv2.resize(original_img, TARGET_SIZE, interpolation=IMAGE_INTERPOLATION)
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	130	resized_mask = cv2.resize(original_mask, TARGET_SIZE, interpolation=MASK_INTERPOLATION)
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	9	from paths import TARGET_SIZE, PROCESSED_IMAGES_DIR, PROCESSED_MASKS_DIR, MANUAL_THRESHOLD_MAPPING, ORIGINAL_MAPPING
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	103	img_rs  = cv2.resize(img, TARGET_SIZE, interpolation=IMAGE_INTERP)
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	104	msk_rs  = cv2.resize(msk, TARGET_SIZE, interpolation=MASK_INTERP)
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	149	img_rs = cv2.resize(img, TARGET_SIZE, interpolation=IMAGE_INTERP)
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	150	msk_bin = np.zeros((TARGET_SIZE[1], TARGET_SIZE[0]), dtype=np.uint8)  # (H,W)
TARGET_SIZE	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks_total.py	169	new_json = out_base / f"mapping_processed_total_{TARGET_SIZE[0]}x{TARGET_SIZE[1]}.json"
TARGET_SUFFIX	paths.py	24	TARGET_SUFFIX = f"{TARGET_WIDTH}x{TARGET_HEIGHT}"
TARGET_SUFFIX	config.py	50	TARGET_SUFFIX  = f"{TARGET_WIDTH}x{TARGET_HEIGHT}"
TARGET_SUFFIX	config.py	53	PREPROCESSED_DIR   = _get_path("PREPROCESSED_DIR", f"output/processed_dataset_{TARGET_SUFFIX}")
TARGET_SUFFIX	config.py	59	MANUAL_PROCESSED_DIR  = _get_path("MANUAL_PROCESSED_DIR", f"{MANUAL_MAPPING_DIR}/processed_{TARGET_SUFFIX}")
TARGET_SUFFIX	config.py	61	MAPPING_PROCESSED_TOTAL = _get_path("MAPPING_PROCESSED_TOTAL", f"{MANUAL_PROCESSED_DIR}/mapping_processed_total_{TARGET_SUFFIX}.json")
TARGET_WIDTH	paths.py	21	TARGET_WIDTH  = require_env_int("TARGET_WIDTH")
TARGET_WIDTH	paths.py	23	TARGET_SIZE   = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_WIDTH	paths.py	24	TARGET_SUFFIX = f"{TARGET_WIDTH}x{TARGET_HEIGHT}"
TARGET_WIDTH	config.py	47	TARGET_WIDTH   = _get_int("TARGET_WIDTH", 512)
TARGET_WIDTH	config.py	49	TARGET_SIZE    = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_WIDTH	config.py	50	TARGET_SUFFIX  = f"{TARGET_WIDTH}x{TARGET_HEIGHT}"
TARGET_WIDTH	config.py	68	assert TARGET_WIDTH > 0 and TARGET_HEIGHT > 0
TARGET_WIDTH	.env	16	TARGET_WIDTH=512
TARGET_WIDTH	.env	23	PREPROCESSED_DIR=${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT}
TARGET_WIDTH	.env	33	MANUAL_PROCESSED_DIR=${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT}
TARGET_WIDTH	.env	35	MAPPING_PROCESSED_TOTAL=${MANUAL_PROCESSED_DIR}/mapping_processed_total_${TARGET_WIDTH}x${TARGET_HEIGHT}.json
TARGET_WIDTH	analysis/images/resize/resize_remap_images.py	12	from paths import TARGET_WIDTH, TARGET_HEIGHT, TARGET_SIZE, ORIGINAL_MAPPING, PROCESSED_DATA_DIR as OUTPUT_DIR
TARGET_WIDTH	analysis/images/resize/resize_remap_images.py	83	scale_x = orig_w / TARGET_WIDTH
TARGET_WIDTH	analysis/images/segmentation_mmseg/paths.py	30	TARGET_WIDTH  = int(os.environ.get("TARGET_WIDTH", "584"))
TARGET_WIDTH	analysis/images/segmentation_mmseg/paths.py	32	TARGET_SIZE   = (TARGET_WIDTH, TARGET_HEIGHT)
TARGET_WIDTH	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	11	TARGET_WIDTH = 256
TARGET_WIDTH	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	14	TARGET_SIZE = (TARGET_WIDTH, TARGET_HEIGHT) # (Width, Height) for OpenCV resize
TARGET_WIDTH	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	27	OUTPUT_BASE_FOLDER = JSON_MAPPING_PATH.parent / f"processed_dataset_{TARGET_WIDTH}x{TARGET_HEIGHT}"
TARGET_WIDTH	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	38	NEW_JSON_MAPPING_FILENAME = f"{JSON_MAPPING_PATH.stem}_processed_{TARGET_WIDTH}x{TARGET_HEIGHT}.json"
TARGET_WIDTH	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	140	output_img_filename = f"{img_id}_{TARGET_WIDTH}x{TARGET_HEIGHT}{img_suffix}"
TARGET_WIDTH	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	142	output_mask_filename = f"{img_id}_mask_{TARGET_WIDTH}x{TARGET_HEIGHT}.png"
TARGET_WIDTH	analysis/images/segmentation_mmseg/preprocessing/resize_img_masks.py	204	print(f"  Target Dimensions: {TARGET_WIDTH}x{TARGET_HEIGHT}")
env_path	paths_audit.py	36	def parse_env_file(env_path: Path):
env_path	paths_audit.py	38	for raw in read_text_safely(env_path).splitlines():
env_path	analysis/images/segmentation_mmseg/paths.py	16	env_path = find_dotenv()
env_path	analysis/images/segmentation_mmseg/paths.py	17	if not load_dotenv(env_path):
env_path	analysis/images/segmentation_mmseg/paths.py	18	raise RuntimeError(f"Failed to load .env (tried: {env_path})")
